Sample  LB  PI  DB  RD
R21	0.0000	0.0000	0.0000	1.0000
R23	0.1090	0.4308	0.2333	0.2270
R27	1.0000	0.0000	0.0000	0.0000
R28	0.0000	1.0000	0.0000	0.0000
R29	1.0000	0.0000	0.0000	0.0000
R2	1.0000	0.0000	0.0000	0.0000
R30	0.0000	1.0000	0.0000	0.0000
R3	1.0000	0.0000	0.0000	0.0000
R6	0.0000	0.0000	0.0000	1.0000
Palau276	1.0000	0.0000	0.0000	0.0000
Palau293	0.0000	1.0000	0.0000	0.0000
Palau294	0.0000	1.0000	0.0000	0.0000
Palau306	1.0000	0.0000	0.0000	0.0000
Palau308	0.9940	0.0000	0.0060	0.0000
Palau309	0.0000	0.0000	1.0000	0.0000
Palau314	0.9970	0.0020	0.0010	0.0000
T11	1.0000	0.0000	0.0000	0.0000
T14	1.0000	0.0000	0.0000	0.0000
T15	1.0000	0.0000	0.0000	0.0000
T16	1.0000	0.0000	0.0000	0.0000
T17	1.0000	0.0000	0.0000	0.0000
T18	1.0000	0.0000	0.0000	0.0000
T19	1.0000	0.0000	0.0000	0.0000
T1	0.9786	0.0000	0.0214	0.0000
T20	1.0000	0.0000	0.0000	0.0000
T2	0.9953	0.0000	0.0047	0.0000
T3	0.9960	0.0000	0.0040	0.0000
T4	1.0000	0.0000	0.0000	0.0000
T5	0.9994	0.0000	0.0006	0.0000
T6	1.0000	0.0000	0.0000	0.0000
T7	1.0000	0.0000	0.0000	0.0000
