1	31.18
2	31.15
3	31.13
4	31.15
5	31.13
6	31.13
7	31.13
8	31.13
9	31.13
10	31.1
11	31.03
12	30.98
13	31
14	31.05
15	31.05
16	31.05
17	31.13
18	31.08
19	31.13
20	31.13
21	31.15
22	31.43
23	31.48
24	31.31
25	31.26
26	31.2
27	31.36
28	31.54
29	31.33
30	31.26
31	31.28
32	31.33
33	31.31
34	31.36
35	31.33
36	31.33
37	31.33
38	31.33
39	31.31
40	31.31
41	31.31
42	31.28
43	31.26
44	31.23
45	31.2
46	31.2
47	31.15
48	31.08
1	31.08
2	31.05
3	31.03
4	31
5	31
6	31
7	30.95
8	30.93
9	30.9
10	30.9
11	30.82
12	30.77
13	30.67
14	30.67
15	30.67
16	30.7
17	30.82
18	30.87
19	31.1
20	31.23
21	31.23
22	31.23
23	31.18
24	31.05
25	31.08
26	31.15
27	31.23
28	31.28
29	31.1
30	31.18
31	31.2
32	31.23
33	31.28
34	31.31
35	31.26
36	31.23
37	31.2
38	31.23
39	31.26
40	31.26
41	31.26
42	31.23
43	31.23
44	31.2
45	31.18
46	31.18
47	31.15
48	30.85
1	30.77
2	30.93
3	31.1
4	30.98
5	31.03
6	31.08
7	31.1
8	31.08
9	31.08
10	30.98
11	30.7
12	30.55
13	30.75
14	30.95
15	31
16	31.03
17	31.13
18	31.23
19	31.23
20	31.48
21	31.51
22	31.64
23	31.61
24	31.61
25	31.51
26	31.46
27	31.51
28	31.59
29	31.54
30	31.48
31	31.46
32	31.48
33	31.43
34	31.48
35	31.51
36	31.51
37	31.48
38	31.54
39	31.56
40	31.54
41	31.51
42	31.56
43	31.56
44	31.48
45	31.54
46	31.56
47	31.56
48	31.56
1	31.46
2	31.41
3	31.41
4	31.36
5	31.33
6	31.38
7	31.41
8	31.41
9	31.41
10	31.36
11	31.36
12	31.31
13	31.1
14	31.08
15	31.05
16	31.05
17	31.23
18	31.26
19	31.38
20	31.64
21	31.64
22	31.59
23	31.77
24	31.71
25	31.66
26	31.66
27	31.64
28	31.74
29	31.59
30	31.56
31	31.59
32	31.61
33	31.61
34	31.59
35	31.61
36	31.59
37	31.56
38	31.54
39	31.51
40	31.48
41	31.48
42	31.48
43	31.48
44	31.46
45	31.46
46	31.46
47	31.41
48	31.41
1	31.38
2	31.38
3	31.43
4	31.43
5	31.41
6	31.38
7	31.38
8	31.38
9	31.36
10	31.38
11	31.36
12	31.38
13	31.38
14	31.31
15	31.31
16	31.33
17	31.46
18	31.48
19	31.48
20	31.61
21	31.61
22	31.56
23	31.79
24	31.87
25	31.71
26	31.77
27	31.89
28	32
29	31.82
30	31.74
31	31.71
32	31.77
33	31.64
34	31.71
35	31.71
36	31.71
37	31.64
38	31.64
39	31.61
40	31.66
41	31.69
42	31.66
43	31.71
44	31.66
45	31.64
46	31.66
47	31.64
48	31.66
1	31.77
2	31.77
3	31.74
4	31.69
5	31.59
6	31.51
7	31.46
8	31.48
9	31.48
10	31.46
11	31.41
12	31.41
13	31.38
14	31.36
15	31.38
16	31.36
17	31.36
18	31.36
19	31.36
20	31.41
21	31.51
22	31.64
23	31.51
24	31.56
25	31.77
26	31.84
27	31.92
28	31.79
29	31.77
30	31.71
31	31.66
32	31.56
33	31.48
34	31.48
35	31.48
